Polling Station Number,Conservative,Green Party,Independent,Liberal,NDP-New Democratic Party,Vote Totals,Conservative (%),Green Party (%),Independent (%),Liberal (%),NDP-New Democratic Party (%)
117,66,3,4,17,25,115,57.39,2.61,3.48,14.78,21.74
118,71,3,0,10,19,103,68.93,2.91,0.0,9.71,18.45
119,61,6,1,19,16,103,59.22,5.83,0.97,18.45,15.53
12,70,10,0,34,41,155,45.16,6.45,0.0,21.94,26.45
120,73,4,2,37,26,142,51.41,2.82,1.41,26.06,18.31
121,80,6,1,19,17,123,65.04,4.88,0.81,15.45,13.82
122,50,4,0,25,25,104,48.08,3.85,0.0,24.04,24.04
123,70,4,2,15,40,131,53.44,3.05,1.53,11.45,30.53
124,73,1,1,21,25,121,60.33,0.83,0.83,17.36,20.66
125,117,1,1,11,29,159,73.58,0.63,0.63,6.92,18.24
126,190,6,1,56,54,307,61.89,1.95,0.33,18.24,17.59
127,154,6,1,32,38,231,66.67,2.6,0.43,13.85,16.45
127-1,71,3,2,18,24,118,60.17,2.54,1.69,15.25,20.34
128,74,2,0,21,22,119,62.18,1.68,0.0,17.65,18.49
129,162,7,3,34,32,238,68.07,2.94,1.26,14.29,13.45
129-1,68,1,1,17,34,121,56.2,0.83,0.83,14.05,28.1
13,70,7,1,44,32,154,45.45,4.55,0.65,28.57,20.78
130,100,10,1,26,53,190,52.63,5.26,0.53,13.68,27.89
130-1,124,8,1,29,47,209,59.33,3.83,0.48,13.88,22.49
131,82,1,0,18,50,151,54.3,0.66,0.0,11.92,33.11
132,57,8,0,25,52,142,40.14,5.63,0.0,17.61,36.62
133,143,8,0,22,33,206,69.42,3.88,0.0,10.68,16.02
134,86,6,2,16,49,159,54.09,3.77,1.26,10.06,30.82
134-1,87,4,1,29,47,168,51.79,2.38,0.6,17.26,27.98
135,113,7,0,14,57,191,59.16,3.66,0.0,7.33,29.84
135-1,100,7,0,30,59,196,51.02,3.57,0.0,15.31,30.1
136,66,10,1,18,47,142,46.48,7.04,0.7,12.68,33.1
137,84,8,0,23,38,153,54.9,5.23,0.0,15.03,24.84
138,118,11,2,22,63,216,54.63,5.09,0.93,10.19,29.17
139,147,5,1,39,75,267,55.06,1.87,0.37,14.61,28.09
14,74,7,0,40,54,175,42.29,4.0,0.0,22.86,30.86
140,95,6,0,12,21,134,70.9,4.48,0.0,8.96,15.67
140-1,105,3,1,9,24,142,73.94,2.11,0.7,6.34,16.9
141,100,1,1,20,21,143,69.93,0.7,0.7,13.99,14.69
141-1,77,2,2,8,12,101,76.24,1.98,1.98,7.92,11.88
142,128,8,3,36,37,212,60.38,3.77,1.42,16.98,17.45
143,86,5,6,20,47,164,52.44,3.05,3.66,12.2,28.66
144,124,6,1,19,54,204,60.78,2.94,0.49,9.31,26.47
145,141,5,3,34,52,235,60.0,2.13,1.28,14.47,22.13
145-1,0,0,0,0,0,0,,,,,
145-2,0,0,0,0,0,0,,,,,
146,121,9,0,43,41,214,56.54,4.21,0.0,20.09,19.16
146-1,154,2,2,33,33,224,68.75,0.89,0.89,14.73,14.73
147,134,12,4,34,53,237,56.54,5.06,1.69,14.35,22.36
148,83,3,1,45,30,162,51.23,1.85,0.62,27.78,18.52
149,123,6,5,43,63,240,51.25,2.5,2.08,17.92,26.25
15,66,5,0,25,59,155,42.58,3.23,0.0,16.13,38.06
150,110,5,2,38,41,196,56.12,2.55,1.02,19.39,20.92
151,124,7,1,37,66,235,52.77,2.98,0.43,15.74,28.09
151-1,66,5,0,15,36,122,54.1,4.1,0.0,12.3,29.51
152,213,12,0,50,67,342,62.28,3.51,0.0,14.62,19.59
153,89,1,0,23,32,145,61.38,0.69,0.0,15.86,22.07
154,61,4,0,12,27,104,58.65,3.85,0.0,11.54,25.96
155,113,6,2,27,54,202,55.94,2.97,0.99,13.37,26.73
156,0,0,0,0,0,0,,,,,
157,84,4,3,31,36,158,53.16,2.53,1.9,19.62,22.78
158,82,7,3,15,31,138,59.42,5.07,2.17,10.87,22.46
159,70,8,2,10,29,119,58.82,6.72,1.68,8.4,24.37
16,104,14,2,48,96,264,39.39,5.3,0.76,18.18,36.36
17,70,12,1,41,41,165,42.42,7.27,0.61,24.85,24.85
18,78,3,0,36,31,148,52.7,2.03,0.0,24.32,20.95
19,74,7,2,32,28,143,51.75,4.9,1.4,22.38,19.58
2,68,5,2,24,13,112,60.71,4.46,1.79,21.43,11.61
20,73,7,0,44,40,164,44.51,4.27,0.0,26.83,24.39
21,83,3,1,62,52,201,41.29,1.49,0.5,30.85,25.87
22,82,13,1,45,18,159,51.57,8.18,0.63,28.3,11.32
23,130,13,0,90,45,278,46.76,4.68,0.0,32.37,16.19
24,126,7,2,80,42,257,49.03,2.72,0.78,31.13,16.34
25,91,10,1,46,62,210,43.33,4.76,0.48,21.9,29.52
26,86,6,2,43,63,200,43.0,3.0,1.0,21.5,31.5
27,94,10,2,36,61,203,46.31,4.93,0.99,17.73,30.05
28,15,0,0,14,23,52,28.85,0.0,0.0,26.92,44.23
28-1,25,4,0,26,27,82,30.49,4.88,0.0,31.71,32.93
29,98,7,2,55,65,227,43.17,3.08,0.88,24.23,28.63
3,69,4,1,19,31,124,55.65,3.23,0.81,15.32,25.0
30,73,3,0,46,26,148,49.32,2.03,0.0,31.08,17.57
31,83,15,1,32,26,157,52.87,9.55,0.64,20.38,16.56
32,147,23,2,76,71,319,46.08,7.21,0.63,23.82,22.26
33,105,7,2,36,60,210,50.0,3.33,0.95,17.14,28.57
34,133,12,1,74,57,277,48.01,4.33,0.36,26.71,20.58
34-1,42,11,0,35,38,126,33.33,8.73,0.0,27.78,30.16
35,118,9,4,46,40,217,54.38,4.15,1.84,21.2,18.43
36,95,7,0,34,51,187,50.8,3.74,0.0,18.18,27.27
