Polling Station Number,Conservative,Liberal,NDP-New Democratic Party,Vote Totals,Conservative (%),Liberal (%),NDP-New Democratic Party (%)
168,3,21,82,106,2.83,19.81,77.36
169,6,28,90,124,4.84,22.58,72.58
17,35,17,147,199,17.59,8.54,73.87
170,4,4,59,67,5.97,5.97,88.06
171,18,29,145,192,9.38,15.1,75.52
172,11,19,109,139,7.91,13.67,78.42
173,37,33,133,203,18.23,16.26,65.52
174,17,30,185,232,7.33,12.93,79.74
175,17,27,168,212,8.02,12.74,79.25
176,24,18,179,221,10.86,8.14,81.0
177,29,23,137,189,15.34,12.17,72.49
178,25,36,171,232,10.78,15.52,73.71
179,19,26,182,227,8.37,11.45,80.18
18,30,20,161,211,14.22,9.48,76.3
180,17,15,114,146,11.64,10.27,78.08
181,23,31,130,184,12.5,16.85,70.65
182,17,46,230,293,5.8,15.7,78.5
183,21,23,146,190,11.05,12.11,76.84
184,28,20,168,216,12.96,9.26,77.78
185,29,13,118,160,18.12,8.12,73.75
